"","assigned_zip","DISTRICT","city"
"1",60647,1,"chicago"
"2",60610,2,"chicago"
"3",60616,3,"chicago"
"4",60653,4,"chicago"
"5",60615,5,"chicago"
"6",60621,6,"chicago"
"7",60649,7,"chicago"
"8",60619,8,"chicago"
"9",60628,9,"chicago"
"10",60617,10,"chicago"
"11",60609,11,"chicago"
"12",NA,12,"chicago"
"13",60638,13,"chicago"
"14",60632,14,"chicago"
"15",NA,15,"chicago"
"16",60636,16,"chicago"
"17",60620,17,"chicago"
"18",60652,18,"chicago"
"19",60655,19,"chicago"
"20",60637,20,"chicago"
"21",60643,21,"chicago"
"22",NA,22,"chicago"
"23",60629,23,"chicago"
"24",60623,24,"chicago"
"25",60608,25,"chicago"
"26",60622,26,"chicago"
"27",60612,27,"chicago"
"28",60624,28,"chicago"
"29",60644,29,"chicago"
"30",60641,30,"chicago"
"31",60639,31,"chicago"
"32",60642,32,"chicago"
"33",NA,33,"chicago"
"34",60607,34,"chicago"
"35",60618,35,"chicago"
"36",60707,36,"chicago"
"37",60651,37,"chicago"
"38",60634,38,"chicago"
"39",60646,39,"chicago"
"40",60625,40,"chicago"
"41",60666,41,"chicago"
"42",60611,42,"chicago"
"43",60614,43,"chicago"
"44",60657,44,"chicago"
"45",60630,45,"chicago"
"46",60613,46,"chicago"
"47",60640,47,"chicago"
"48",60660,48,"chicago"
"49",60626,49,"chicago"
"50",60645,50,"chicago"
"51",32277,1,"jacksonville"
"52",32226,2,"jacksonville"
"53",32224,3,"jacksonville"
"54",32216,4,"jacksonville"
"55",32207,5,"jacksonville"
"56",32223,6,"jacksonville"
"57",32205,7,"jacksonville"
"58",32218,8,"jacksonville"
"59",32210,9,"jacksonville"
"60",32208,10,"jacksonville"
"61",32256,11,"jacksonville"
"62",32234,12,"jacksonville"
"63",32233,13,"jacksonville"
"64",32244,14,"jacksonville"
"65",37218,1,"nashville"
"66",37228,2,"nashville"
"67",37207,3,"nashville"
"68",37211,4,"nashville"
"69",NA,5,"nashville"
"70",37206,6,"nashville"
"71",37216,7,"nashville"
"72",NA,8,"nashville"
"73",37115,9,"nashville"
"74",37072,10,"nashville"
"75",37138,11,"nashville"
"76",37076,12,"nashville"
"77",37217,13,"nashville"
"78",NA,14,"nashville"
"79",37214,15,"nashville"
"80",37210,16,"nashville"
"81",37203,17,"nashville"
"82",37212,18,"nashville"
"83",37213,19,"nashville"
"84",37209,20,"nashville"
"85",37208,21,"nashville"
"86",NA,22,"nashville"
"87",37205,23,"nashville"
"88",NA,24,"nashville"
"89",37220,25,"nashville"
"90",37204,26,"nashville"
"91",NA,27,"nashville"
"92",NA,28,"nashville"
"93",NA,29,"nashville"
"94",NA,30,"nashville"
"95",37027,31,"nashville"
"96",37086,32,"nashville"
"97",37013,33,"nashville"
"98",37215,34,"nashville"
"99",37221,35,"nashville"
