"ward","assigned_zip","overlap_area","overlap_pct","DISTRICT"
1,"37218",1017569873.07046,37.4638969462548,1
2,"37207",191823785.761087,63.461699125638,2
3,"37207",199500241.5243,40.2830164601548,3
4,"37211",132319219.457519,68.4590344941603,4
5,"37207",115180945.376989,55.9593746855804,5
6,"37206",180997770.505664,95.122371828672,6
7,"37216",146690098.439456,72.2008036006222,7
8,"37013",257271353.000265,98.6903002909069,8
9,"37115",323455791.291759,99.7151489545245,9
10,"37072",992161573.739914,83.1144177102707,10
11,"37138",389576791.321889,84.8274197920212,11
12,"37076",612052716.676715,84.6405499539922,12
13,"37217",311153403.462006,63.236386610995,13
14,"37076",215214165.775176,74.9669352129819,14
15,"37214",389397104.147578,73.8754428912085,15
16,"37211",92986843.1820242,44.8027869322456,16
17,"37203",48573413.3134726,38.502467375374,17
18,"37212",63036704.7143126,78.3948399428119,18
19,"37203",48270583.5033986,33.9135476523637,19
20,"37209",302688512.619554,94.6488101474209,20
21,"37208",76962944.9321775,54.0472535335009,21
22,"37221",246251948.002007,90.9266482501095,22
23,"37205",309070824.071577,82.6114651371585,23
24,"37209",65022693.247486,43.2092890278351,24
25,"37220",159189065.671646,47.8996767544367,25
26,"37211",94011177.7284484,34.9770804179605,26
27,"37211",93755563.4350577,86.2802884889102,27
28,"37013",121327716.765254,55.4922570220437,28
29,"37217",119731013.346292,46.9514913330442,29
30,"37211",86095693.3256522,96.6606511247917,30
31,"37013",177316046.467739,72.4054117540065,31
32,"37013",237049213.181467,88.6771478609498,32
33,"37013",263401635.127457,77.1660120737739,33
34,"37215",323666970.212698,54.9821211475121,34
35,"37221",820680993.699609,53.0913224457937,35
